hour_utc,electricity_kwh,district_heating_kwh,total_cost_kr
2026-06-26T19:00:00.000Z,0.722000002861023,3,5.546167435393688
2026-06-26T20:00:00.000Z,0.6650000214576721,3,5.2693805566827026
2026-06-26T21:00:00.000Z,0.6840000152587891,3,5.065467848596928
2026-06-26T22:00:00.000Z,0.6949999928474426,4,6.451618915235173
2026-06-26T23:00:00.000Z,0.6790000200271606,3,5.069940153859016
2026-06-27T00:00:00.000Z,0.6759999990463257,4,6.022867771626864
2026-06-27T01:00:00.000Z,0.6909999847412109,3,4.863330328164593
2026-06-27T02:00:00.000Z,0.6890000104904175,4,5.939877583385861
2026-06-27T03:00:00.000Z,0.6700000166893005,4,6.1319383905007
2026-06-27T04:00:00.000Z,0.6919999718666077,3,5.202545612351194
2026-06-27T05:00:00.000Z,0.6809999942779541,3,5.227407037387387
2026-06-27T06:00:00.000Z,0.6740000247955322,3,5.082825670943753
2026-06-27T07:00:00.000Z,0.6940000057220459,3,4.963197449884907
2026-06-27T08:00:00.000Z,0.6690000295639038,2,3.3007968404837804
2026-06-27T09:00:00.000Z,0.6940000057220459,3,3.600111447773472
2026-06-27T10:00:00.000Z,0.6940000057220459,3,3.023108646879688
2026-06-27T11:00:00.000Z,0.6700000166893005,3,2.6346022509734786
2026-06-27T12:00:00.000Z,0.7070000171661377,2,2.2013828226515013
2026-06-27T13:00:00.000Z,0.6800000071525574,3,3.225829248044983
2026-06-27T14:00:00.000Z,0.6620000004768372,2,3.5647085155376157
2026-06-27T15:00:00.000Z,0.7179999947547913,2,4.330623708666201
2026-06-27T16:00:00.000Z,0.6700000166893005,3,5.606746264545219
2026-06-27T17:00:00.000Z,0.6690000295639038,2,4.3708388528414925
2026-06-27T18:00:00.000Z,0.7049999833106995,3,5.736799222503201
2026-06-27T19:00:00.000Z,0.671999990940094,3,5.658313232414024
2026-06-27T20:00:00.000Z,0.6830000281333923,3,5.404609176973597
2026-06-27T21:00:00.000Z,0.6859999895095825,3,5.344741831682221
2026-06-27T22:00:00.000Z,3,3,7.123764386317907
2026-06-27T23:00:00.000Z,4,4,9.275952515090543
2026-06-28T00:00:00.000Z,3,3,6.5103
2026-06-28T01:00:00.000Z,4,4,8.434
2026-06-28T02:00:00.000Z,3,3,6.1677
2026-06-28T03:00:00.000Z,3,3,6.1472999999999995
2026-06-28T04:00:00.000Z,3,3,6.6507
2026-06-28T05:00:00.000Z,1,1,2.2809
2026-06-28T06:00:00.000Z,1,1,2.2291
2026-06-28T07:00:00.000Z,3,3,4.8248999999999995
2026-06-28T08:00:00.000Z,2,2,2.5274
2026-06-28T09:00:00.000Z,2,2,2.4142
2026-06-28T10:00:00.000Z,2,2,2.1578
2026-06-28T11:00:00.000Z,2,2,2.4240000000000004
2026-06-28T12:00:00.000Z,1,1,1.1659000000000002
2026-06-28T13:00:00.000Z,2,2,2.5584
2026-06-28T14:00:00.000Z,1,1,1.7181000000000002
2026-06-28T15:00:00.000Z,2,2,5.0194
2026-06-28T16:00:00.000Z,1,1,2.7728
2026-06-28T17:00:00.000Z,2,2,5.464
2026-06-28T18:00:00.000Z,2,2,5.2895
2026-06-28T19:00:00.000Z,2,2,5.5636
2026-06-28T20:00:00.000Z,2,2,5.3548
2026-06-28T21:00:00.000Z,2,2,5.193099999999999
2026-06-28T22:00:00.000Z,3,3,3.3969
2026-06-29T22:00:00.000Z,0.6840000152587891,3,0.674971215057373
2026-06-29T23:00:00.000Z,0.6589999794960022,4,0.6188668807446958
2026-06-30T00:00:00.000Z,0.6830000281333923,4,0.6439324265241623
2026-06-30T01:00:00.000Z,0.6779999732971191,3,0.6274889752864837
2026-06-30T02:00:00.000Z,0.6570000052452087,4,0.6203394049525262
2026-06-30T03:00:00.000Z,0.6919999718666077,4,0.679267172384262
2026-06-30T04:00:00.000Z,0.6439999938011169,3,0.7389255928874016
2026-06-30T05:00:00.000Z,2.4730000495910645,3,3.0395643609523777
2026-06-30T06:00:00.000Z,2.5950000286102295,2,3.2248065355539324
2026-06-30T07:00:00.000Z,2.75,2,3.2144749999999997
